independentAcademic
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements

Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements

Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements

Independent projects are slightly less important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
No opinion; I do not know
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much less important than academic achievements
Independent projects are much more important than academic achievements
No opinion; I do not know
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
No opinion; I do not know
Independent projects are much more important than academic achievements

Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements

No opinion; I do not know
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
No opinion; I do not know

Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
No opinion; I do not know
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements

Independent projects are much more important than academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements

Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
No opinion; I do not know
Independent projects are equally important as academic achievements
No opinion; I do not know
Independent projects are slightly less important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
No opinion; I do not know
Independent projects are much more important than academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
No opinion; I do not know
Independent projects are much more important than academic achievements
No opinion; I do not know
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements

Independent projects are much more important than academic achievements
No opinion; I do not know
Independent projects are slightly more important than academic achievements

Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements

Independent projects are slightly less important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are much less important than academic achievements
No opinion; I do not know
Independent projects are equally important as academic achievements
No opinion; I do not know
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are slightly more important than academic achievements

Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements

Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly less important than academic achievements
No opinion; I do not know
Independent projects are slightly less important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements

Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much less important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much less important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
No opinion; I do not know
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
No opinion; I do not know
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements

Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much less important than academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
No opinion; I do not know
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
No opinion; I do not know
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
No opinion; I do not know
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
No opinion; I do not know
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
No opinion; I do not know
Independent projects are slightly more important than academic achievements
No opinion; I do not know
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
No opinion; I do not know
Independent projects are slightly less important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements

Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
No opinion; I do not know
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements

Independent projects are much more important than academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
No opinion; I do not know
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements

Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
No opinion; I do not know
Independent projects are slightly more important than academic achievements
No opinion; I do not know
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements

Independent projects are equally important as academic achievements
Independent projects are much less important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much less important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
No opinion; I do not know
Independent projects are slightly less important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
No opinion; I do not know
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
No opinion; I do not know
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
No opinion; I do not know
Independent projects are slightly less important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
No opinion; I do not know
Independent projects are slightly less important than academic achievements
No opinion; I do not know
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much less important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
No opinion; I do not know
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
No opinion; I do not know
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements

Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
No opinion; I do not know
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
No opinion; I do not know
Independent projects are slightly more important than academic achievements
Independent projects are much less important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
No opinion; I do not know
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are much more important than academic achievements
No opinion; I do not know
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
No opinion; I do not know
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
No opinion; I do not know
Independent projects are slightly more important than academic achievements
Independent projects are much less important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements

Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
No opinion; I do not know
Independent projects are much less important than academic achievements
No opinion; I do not know
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
No opinion; I do not know
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much less important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much less important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are much less important than academic achievements
Independent projects are much more important than academic achievements
No opinion; I do not know
Independent projects are slightly more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly less important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are slightly more important than academic achievements
Independent projects are much more important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much less important than academic achievements
Independent projects are equally important as academic achievements
Independent projects are much more important than academic achievements
No opinion; I do not know
Independent projects are much more important than academic achievements
